time	count
0.00	0.00
30275.00	0.25
60286.00	0.00
61223.00	0.25
61314.00	0.00
61515.00	0.25
61565.00	0.00
61746.00	0.25
61823.00	0.00
62285.00	0.25
171346.00	0.00
171385.00	0.25
171388.00	0.00
171415.00	0.25
171436.00	0.00
171529.00	0.25
177650.00	0.00
177872.00	0.25
177950.00	0.00
178349.00	0.25
178391.00	0.50
178442.00	0.25
178614.00	0.50
178725.00	0.25
179320.00	0.50
179344.00	0.75
179359.00	0.50
179366.00	0.75
179383.00	0.50
190811.00	0.25
190842.00	0.50
190861.00	0.25
191634.00	0.00
191676.00	0.25
191677.00	0.00
191720.00	0.25
226265.00	0.00
226304.00	0.25
226305.00	0.00
226334.00	0.25
226813.00	0.00
226993.00	0.25
227440.00	0.00
232175.00	0.25
232329.00	0.00
232354.00	0.25
232356.00	0.00
232358.00	0.00
232359.00	0.25
232360.00	0.00
232361.00	0.00
232362.00	0.25
232367.00	0.00
232369.00	0.00
232370.00	0.00
232371.00	0.25
232372.00	0.00
232373.00	0.00
232374.00	0.00
232375.00	0.25
232376.00	0.00
232377.00	0.25
232381.00	0.00
232382.00	0.00
232384.00	0.00
233534.00	0.25
233549.00	0.00
237041.00	0.25
237043.00	0.00
237097.00	0.25
237098.00	0.00
237141.00	0.25
237142.00	0.00
237194.00	0.00
237237.00	0.25
237238.00	0.00
237279.00	0.25
237280.00	0.00
237321.00	0.25
237322.00	0.00
237364.00	0.00
237406.00	0.25
237407.00	0.00
237449.00	0.00
237496.00	0.00
237538.00	0.25
237539.00	0.00
237581.00	0.00
237623.00	0.00
237665.00	0.25
237666.00	0.00
237708.00	0.00
237750.00	0.25
237751.00	0.00
237793.00	0.00
237836.00	0.00
237878.00	0.25
237879.00	0.00
237920.00	0.25
237921.00	0.00
237963.00	0.25
237964.00	0.00
238006.00	0.00
238048.00	0.00
238090.00	0.25
238091.00	0.00
238133.00	0.00
238183.00	0.00
238226.00	0.25
238227.00	0.00
238269.00	0.00
238311.00	0.25
238312.00	0.00
238353.00	0.25
238354.00	0.00
238396.00	0.00
238438.00	0.25
