time	count
0.00	0.00
8537.00	0.25
8604.00	0.00
8659.00	0.25
8660.00	0.00
8820.00	0.25
8834.00	0.50
8835.00	0.25
20403.00	0.00
20575.00	0.25
20583.00	0.00
20650.00	0.25
20654.00	0.00
20671.00	0.25
20673.00	0.00
21041.00	0.25
21044.00	0.00
21405.00	0.25
21453.00	0.50
21458.00	0.25
21529.00	0.00
21565.00	0.25
21567.00	0.00
21621.00	0.25
21623.00	0.00
21654.00	0.25
21655.00	0.00
21743.00	0.25
21744.00	0.00
21839.00	0.25
21860.00	0.50
21862.00	0.25
21893.00	0.00
21942.00	0.25
21943.00	0.00
21976.00	0.25
21985.00	0.00
21998.00	0.25
21999.00	0.00
22093.00	0.25
22094.00	0.00
22173.00	0.25
22200.00	0.50
22202.00	0.25
22270.00	0.00
22380.00	0.25
22392.00	0.00
22434.00	0.25
22435.00	0.00
22485.00	0.25
22486.00	0.00
22543.00	0.25
22544.00	0.00
22565.00	0.25
22591.00	0.00
22830.00	0.25
22862.00	0.50
22870.00	0.25
22874.00	0.50
22875.00	0.25
22923.00	0.50
22924.00	0.25
24559.00	0.00
24580.00	0.25
24583.00	0.00
24585.00	0.25
24586.00	0.00
24693.00	0.00
24724.00	0.25
24725.00	0.00
24736.00	0.25
24755.00	0.00
24783.00	0.25
24785.00	0.00
24821.00	0.25
24822.00	0.00
24850.00	0.25
24851.00	0.00
24890.00	0.25
24906.00	0.50
24907.00	0.25
28004.00	0.00
28031.00	0.25
28033.00	0.00
28071.00	0.25
28072.00	0.00
28104.00	0.25
28105.00	0.00
28185.00	0.25
28186.00	0.00
28245.00	0.25
28270.00	0.50
28271.00	0.25
28386.00	0.50
28389.00	0.25
28419.00	0.00
28459.00	0.25
28466.00	0.00
28483.00	0.25
28484.00	0.00
28542.00	0.25
28543.00	0.00
28579.00	0.00
28589.00	0.25
28595.00	0.00
28690.00	0.25
28706.00	0.50
28707.00	0.25
28736.00	0.50
28737.00	0.25
28754.00	0.50
28755.00	0.25
28809.00	0.25
28881.00	0.50
28882.00	0.25
28974.00	0.50
28975.00	0.25
28981.00	0.50
29037.00	0.25
29050.00	0.50
29051.00	0.25
29085.00	0.50
29087.00	0.25
29119.00	0.50
29120.00	0.25
29185.00	0.50
29186.00	0.25
29252.00	0.50
29267.00	0.75
29274.00	0.50
29370.00	0.50
29386.00	0.25
29397.00	0.25
29469.00	0.50
29472.00	0.25
29495.00	0.50
29501.00	0.25
29558.00	0.50
29560.00	0.25
29595.00	0.50
29596.00	0.25
29624.00	0.50
29625.00	0.25
29629.00	0.25
29682.00	0.25
29740.00	0.50
29769.00	0.25
29773.00	0.50
29774.00	0.25
30010.00	0.50
30011.00	0.25
30013.00	0.50
30017.00	0.25
30028.00	0.50
30586.00	0.25
30615.00	0.50
30616.00	0.25
30626.00	0.50
30636.00	0.75
30637.00	0.50
30666.00	0.75
30667.00	0.50
31416.00	0.25
31434.00	0.50
31436.00	0.25
31439.00	0.50
31440.00	0.25
31472.00	0.50
31473.00	0.25
