level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	29952	29997	#0069ff	1.0	Fill	15					2028
3	40201	40224	#000000	1.0	Fill						2029
3	40685	40692	#000000	1.0	Fill						2030
3	40929	40935	#000000	1.0	Fill						540
3	41590	41597	#000000	1.0	Fill						541
3	45639	45646	#000000	1.0	Fill						542
3	45851	45858	#000000	1.0	Fill						543
3	49334	49341	#00ff0f	1.0	Fill	81					2031
3	49587	49593	#ff0071	1.0	Fill	82					2032
3	50342	50349	#1f00ff	1.0	Fill	86					544
3	52044	52051	#1f00ff	1.0	Fill	93					545
3	54086	54093	#1f00ff	1.0	Fill	100					546
3	55797	55805	#1f00ff	1.0	Fill	107					547
3	57393	57399	#1f00ff	1.0	Fill	114					2033
3	58988	58995	#1f00ff	1.0	Fill	121					2957
3	60559	60563	#1f00ff	1.0	Fill	128					548
3	62088	62091	#1f00ff	1.0	Fill	135					2034
3	63671	63678	#1f00ff	1.0	Fill	142					549
3	65331	65340	#1f00ff	1.0	Fill	149					550
3	67176	67183	#1f00ff	1.0	Fill	156					1595
3	68803	68809	#1f00ff	1.0	Fill	163					551
3	70341	70348	#1f00ff	1.0	Fill	170					2035
3	71956	71964	#1f00ff	1.0	Fill	177					2036
