level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	8454	8488	#0018ff	1.0	Deferred Enqueue Task	1					1419
2	8533	8624	#37ff00	1.0	Scheduler	0					1420
2	8657	8821	#f7ff00	1.0	Task Physical Dependence Analysis	1					68
2	20402	20543	#00ff4e	1.0	Logical Dependence Analysis	3					70
2	20575	20631	#333399	1.0	Deferred Ready Trigger	3					71
2	20652	20657	#9d00ff	1.0	Prepipeline Stage	3					72
2	20669	20982	#00ff12	1.0	Operation Physical Dependence Analysis	3					1421
2	20982	20999	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	3					1421
2	20999	21031	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	3					1421
2	21031	21429	#00ff12	1.0	Operation Physical Dependence Analysis	3					1421
1	20715	21164	#6700ff	1.0	Mapper Call map_inline for 3	3					1612
2	21522	21535	#9d00ff	1.0	Prepipeline Stage	4					1422
2	21583	21600	#00ff4e	1.0	Logical Dependence Analysis	4					1665
2	21624	21637	#333399	1.0	Deferred Ready Trigger	4					1666
2	21661	21744	#00ff12	1.0	Operation Physical Dependence Analysis	4					74
2	21744	21764	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	4					74
2	21764	21769	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	4					74
2	21769	21838	#00ff12	1.0	Operation Physical Dependence Analysis	4					74
1	21666	21783	#6700ff	1.0	Mapper Call map_inline for 4	4					1613
2	21895	21917	#00ff4e	1.0	Logical Dependence Analysis	5					76
2	21943	21952	#333399	1.0	Deferred Ready Trigger	5					77
2	21978	21979	#9d00ff	1.0	Prepipeline Stage	5					1423
2	22011	22092	#00ff12	1.0	Operation Physical Dependence Analysis	5					78
2	22092	22100	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	5					78
2	22100	22104	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	5					78
2	22104	22178	#00ff12	1.0	Operation Physical Dependence Analysis	5					78
1	22019	22120	#6700ff	1.0	Mapper Call map_inline for 5	5					1614
2	22253	22359	#00ff4e	1.0	Logical Dependence Analysis	6					1667
2	22398	22409	#333399	1.0	Deferred Ready Trigger	6					79
2	22435	22457	#37ff00	1.0	Scheduler	0					81
2	22489	22514	#00ff4e	1.0	Logical Dependence Analysis	7					83
2	22548	22549	#9d00ff	1.0	Prepipeline Stage	7					2874
2	22568	22830	#f7ff00	1.0	Task Physical Dependence Analysis	6					1424
2	22839	22847	#333399	1.0	Deferred Ready Trigger	7					1425
2	22852	22903	#00ff12	1.0	Operation Physical Dependence Analysis	7					2875
2	24562	24575	#006600	1.0	Post-Task Execution	6					84
2	24583	24673	#ff7a00	1.0	Deferred Post-Task Execution	6					2876
2	24701	24710	#001bff	1.0	Deferred Execution Trigger	7					2877
2	24756	24761	#9d00ff	1.0	Prepipeline Stage	8					2878
2	24786	24801	#00ff4e	1.0	Logical Dependence Analysis	8					1668
2	24824	24832	#333399	1.0	Deferred Ready Trigger	8					1669
2	24852	24888	#00ff12	1.0	Operation Physical Dependence Analysis	8					86
2	28001	28008	#9d00ff	1.0	Prepipeline Stage	9					1670
2	28037	28054	#00ff4e	1.0	Logical Dependence Analysis	9					1671
2	28076	28084	#333399	1.0	Deferred Ready Trigger	9					1672
2	28104	28179	#00ff12	1.0	Operation Physical Dependence Analysis	9					88
2	28179	28186	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	9					88
2	28186	28191	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	9					88
2	28191	28243	#00ff12	1.0	Operation Physical Dependence Analysis	9					88
2	28330	28366	#00ff4e	1.0	Logical Dependence Analysis	10					90
2	28423	28432	#333399	1.0	Deferred Ready Trigger	10					91
2	28457	28467	#37ff00	1.0	Scheduler	0					92
2	28484	28521	#00ff4e	1.0	Logical Dependence Analysis	11					94
2	28544	28556	#333399	1.0	Deferred Ready Trigger	12					96
2	28577	28578	#9d00ff	1.0	Prepipeline Stage	12					2879
2	28597	28689	#f7ff00	1.0	Task Physical Dependence Analysis	10					2880
2	28710	28717	#333399	1.0	Deferred Ready Trigger	11					2881
2	28732	28744	#37ff00	1.0	Scheduler	0					1426
2	28755	28809	#00ff12	1.0	Operation Physical Dependence Analysis	12					2882
2	28809	28820	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	12					2882
2	28820	28824	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	12					2882
2	28824	28866	#00ff12	1.0	Operation Physical Dependence Analysis	12					2882
2	28885	28955	#f7ff00	1.0	Task Physical Dependence Analysis	11					2883
2	29027	29033	#9d00ff	1.0	Prepipeline Stage	13					2884
2	29052	29069	#00ff4e	1.0	Logical Dependence Analysis	13					1673
2	29089	29103	#333399	1.0	Deferred Ready Trigger	13					1674
2	29123	29185	#00ff12	1.0	Operation Physical Dependence Analysis	13					2885
2	29185	29192	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	13					2885
2	29192	29196	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	13					2885
2	29196	29250	#00ff12	1.0	Operation Physical Dependence Analysis	13					2885
2	29327	29353	#00ff4e	1.0	Logical Dependence Analysis	14					2886
2	29374	29382	#333399	1.0	Deferred Ready Trigger	14					2887
2	29399	29446	#00ff4e	1.0	Logical Dependence Analysis	15					1675
2	29468	29477	#333399	1.0	Deferred Ready Trigger	16					1676
2	29497	29537	#00ff12	1.0	Operation Physical Dependence Analysis	14					1677
2	29559	29566	#333399	1.0	Deferred Ready Trigger	15					1678
2	29597	29610	#37ff00	1.0	Scheduler	0					1679
2	29622	29624	#9d00ff	1.0	Prepipeline Stage	16					1680
2	29629	29679	#00ff12	1.0	Operation Physical Dependence Analysis	16					1681
2	29679	29686	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	16					1681
2	29686	29690	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	16					1681
2	29690	29739	#00ff12	1.0	Operation Physical Dependence Analysis	16					1681
2	29748	29995	#f7ff00	1.0	Task Physical Dependence Analysis	15					1682
2	30014	30031	#00ff4e	1.0	Logical Dependence Analysis	17					1588
2	30040	30047	#333399	1.0	Deferred Ready Trigger	17					1589
2	30052	30053	#9d00ff	1.0	Prepipeline Stage	17					1590
2	30057	30086	#00ff12	1.0	Operation Physical Dependence Analysis	17					1591
2	30092	30096	#FFC0CB	1.0	ProfTask <17>						1623
2	30098	30099	#FFC0CB	1.0	ProfTask <17>						1625
2	30100	30109	#FFC0CB	1.0	ProfTask <17>						1627
2	30110	30111	#FFC0CB	1.0	ProfTask <17>						1629
2	30619	30626	#006600	1.0	Post-Task Execution	10					1427
2	30636	30651	#ff7a00	1.0	Deferred Post-Task Execution	10					1428
2	31421	31430	#006600	1.0	Post-Task Execution	15					1683
2	31439	31454	#ff7a00	1.0	Deferred Post-Task Execution	15					2888
2	33212	33219	#006600	1.0	Post-Task Execution	11					97
2	33236	33242	#001bff	1.0	Deferred Execution Trigger	17					99
2	33257	33271	#ff7a00	1.0	Deferred Post-Task Execution	11					100
2	33384	33390	#9d00ff	1.0	Prepipeline Stage	18					1684
2	33428	33447	#00ff4e	1.0	Logical Dependence Analysis	18					1685
2	33470	33478	#333399	1.0	Deferred Ready Trigger	18					1686
2	33499	33556	#00ff12	1.0	Operation Physical Dependence Analysis	18					102
2	33556	33563	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	18					102
2	33563	33566	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	18					102
2	33566	33610	#00ff12	1.0	Operation Physical Dependence Analysis	18					102
2	33740	33769	#00ff4e	1.0	Logical Dependence Analysis	19					104
2	33788	33794	#333399	1.0	Deferred Ready Trigger	19					105
2	33813	33823	#37ff00	1.0	Scheduler	0					106
2	33840	33913	#f7ff00	1.0	Task Physical Dependence Analysis	19					2889
