level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	34538	34655	#003cff	1.0	Partition By Field	20					575
3	34725	34849	#003cff	1.0	Partition By Image Range	21					576
3	49258	49261	#000000	1.0	Intersection						577
3	49291	49291	#000000	1.0	Intersection						578
