time	count
0.00	0.00
8454.00	1.00
8488.00	0.00
8533.00	1.00
8624.00	0.00
8657.00	1.00
8821.00	0.00
20402.00	1.00
20543.00	0.00
20575.00	1.00
20631.00	0.00
20652.00	1.00
20657.00	0.00
20669.00	1.00
21429.00	0.00
21522.00	1.00
21535.00	0.00
21583.00	1.00
21600.00	0.00
21624.00	1.00
21637.00	0.00
21661.00	1.00
21838.00	0.00
21895.00	1.00
21917.00	0.00
21943.00	1.00
21952.00	0.00
21978.00	1.00
21979.00	0.00
22011.00	1.00
22178.00	0.00
22253.00	1.00
22359.00	0.00
22398.00	1.00
22409.00	0.00
22435.00	1.00
22457.00	0.00
22489.00	1.00
22514.00	0.00
22548.00	1.00
22549.00	0.00
22568.00	1.00
22830.00	0.00
22839.00	1.00
22847.00	0.00
22852.00	1.00
22903.00	0.00
24562.00	1.00
24575.00	0.00
24583.00	1.00
24673.00	0.00
24701.00	1.00
24710.00	0.00
24756.00	1.00
24761.00	0.00
24786.00	1.00
24801.00	0.00
24824.00	1.00
24832.00	0.00
24852.00	1.00
24888.00	0.00
28001.00	1.00
28008.00	0.00
28037.00	1.00
28054.00	0.00
28076.00	1.00
28084.00	0.00
28104.00	1.00
28179.00	0.00
28191.00	1.00
28243.00	0.00
28330.00	1.00
28366.00	0.00
28423.00	1.00
28432.00	0.00
28457.00	1.00
28467.00	0.00
28484.00	1.00
28521.00	0.00
28544.00	1.00
28556.00	0.00
28577.00	1.00
28578.00	0.00
28597.00	1.00
28689.00	0.00
28710.00	1.00
28717.00	0.00
28732.00	1.00
28744.00	0.00
28755.00	1.00
28809.00	0.00
28824.00	1.00
28866.00	0.00
28885.00	1.00
28955.00	0.00
29027.00	1.00
29033.00	0.00
29052.00	1.00
29069.00	0.00
29089.00	1.00
29103.00	0.00
29123.00	1.00
29185.00	0.00
29196.00	1.00
29250.00	0.00
29327.00	1.00
29353.00	0.00
29374.00	1.00
29382.00	0.00
29399.00	1.00
29446.00	0.00
29468.00	1.00
29477.00	0.00
29497.00	1.00
29537.00	0.00
29559.00	1.00
29566.00	0.00
29597.00	1.00
29610.00	0.00
29622.00	1.00
29624.00	0.00
29629.00	1.00
29679.00	0.00
29690.00	1.00
29739.00	0.00
29748.00	1.00
29995.00	0.00
30014.00	1.00
30031.00	0.00
30040.00	1.00
30047.00	0.00
30052.00	1.00
30053.00	0.00
30057.00	1.00
30086.00	0.00
30092.00	1.00
30096.00	0.00
30098.00	1.00
30099.00	0.00
30100.00	1.00
30109.00	0.00
30110.00	1.00
30111.00	0.00
30619.00	1.00
30626.00	0.00
30636.00	1.00
30651.00	0.00
31421.00	1.00
31430.00	0.00
31439.00	1.00
31454.00	0.00
33212.00	1.00
33219.00	0.00
33236.00	1.00
33242.00	0.00
33257.00	1.00
33271.00	0.00
33384.00	1.00
33390.00	0.00
33428.00	1.00
33447.00	0.00
33470.00	1.00
33478.00	0.00
33499.00	1.00
33556.00	0.00
33566.00	1.00
33610.00	0.00
33740.00	1.00
33769.00	0.00
33788.00	1.00
33794.00	0.00
33813.00	1.00
33823.00	0.00
33840.00	1.00
34011.00	0.00
34030.00	1.00
34176.00	0.00
34200.00	1.00
34216.00	0.00
34238.00	1.00
34245.00	0.00
34263.00	1.00
34267.00	0.00
34285.00	1.00
34288.00	0.00
34300.00	1.00
34303.00	0.00
34336.00	1.00
34343.00	0.00
34371.00	1.00
34380.00	0.00
34401.00	1.00
34610.00	0.00
34647.00	1.00
34782.00	0.00
34806.00	1.00
34813.00	0.00
34833.00	1.00
34834.00	0.00
34849.00	1.00
34851.00	0.00
34863.00	1.00
34864.00	0.00
34907.00	1.00
34909.00	0.00
34933.00	1.00
34934.00	0.00
34952.00	1.00
34954.00	0.00
34970.00	1.00
34973.00	0.00
34986.00	1.00
34987.00	0.00
35001.00	1.00
35002.00	0.00
35016.00	1.00
35017.00	0.00
35030.00	1.00
35031.00	0.00
35047.00	1.00
35048.00	0.00
35064.00	1.00
35065.00	0.00
35069.00	1.00
35084.00	0.00
35102.00	1.00
35107.00	0.00
35118.00	1.00
35122.00	0.00
35140.00	1.00
35141.00	0.00
35157.00	1.00
35162.00	0.00
35188.00	1.00
35200.00	0.00
35222.00	1.00
35227.00	0.00
35244.00	1.00
35249.00	0.00
35267.00	1.00
35271.00	0.00
35287.00	1.00
35326.00	0.00
35348.00	1.00
35604.00	0.00
35628.00	1.00
35651.00	0.00
35672.00	1.00
35756.00	0.00
35773.00	1.00
35777.00	0.00
35809.00	1.00
35815.00	0.00
35837.00	1.00
35848.00	0.00
35925.00	1.00
36067.00	0.00
36091.00	1.00
36113.00	0.00
36133.00	1.00
36488.00	0.00
36534.00	1.00
36574.00	0.00
36599.00	1.00
36625.00	0.00
36645.00	1.00
36659.00	0.00
36697.00	1.00
36715.00	0.00
36733.00	1.00
36744.00	0.00
36765.00	1.00
36779.00	0.00
36797.00	1.00
36805.00	0.00
36824.00	1.00
36840.00	0.00
36859.00	1.00
36865.00	0.00
36883.00	1.00
36890.00	0.00
36909.00	1.00
36920.00	0.00
36938.00	1.00
36943.00	0.00
36976.00	1.00
36991.00	0.00
37010.00	1.00
37016.00	0.00
37035.00	1.00
37044.00	0.00
37061.00	1.00
37068.00	0.00
37087.00	1.00
37095.00	0.00
37112.00	1.00
37117.00	0.00
37146.00	1.00
37158.00	0.00
37177.00	1.00
37183.00	0.00
37202.00	1.00
37211.00	0.00
37239.00	1.00
37247.00	0.00
37268.00	1.00
37277.00	0.00
37300.00	1.00
37301.00	0.00
37327.00	1.00
37367.00	0.00
37386.00	1.00
37421.00	0.00
37444.00	1.00
37624.00	0.00
37660.00	1.00
37792.00	0.00
37822.00	1.00
37947.00	0.00
37984.00	1.00
38111.00	0.00
38127.00	1.00
38253.00	0.00
38269.00	1.00
38404.00	0.00
38418.00	1.00
38543.00	0.00
38569.00	1.00
38579.00	0.00
38599.00	1.00
38623.00	0.00
38643.00	1.00
38659.00	0.00
38680.00	1.00
38691.00	0.00
38712.00	1.00
38723.00	0.00
38745.00	1.00
38755.00	0.00
38776.00	1.00
38786.00	0.00
38806.00	1.00
38816.00	0.00
38838.00	1.00
38849.00	0.00
38870.00	1.00
38916.00	0.00
38949.00	1.00
38982.00	0.00
39001.00	1.00
39008.00	0.00
39022.00	1.00
39031.00	0.00
39048.00	1.00
39227.00	0.00
39249.00	1.00
39256.00	0.00
39276.00	1.00
39285.00	0.00
39312.00	1.00
39318.00	0.00
39339.00	1.00
39346.00	0.00
39366.00	1.00
39371.00	0.00
39389.00	1.00
39396.00	0.00
39412.00	1.00
39413.00	0.00
39425.00	1.00
39523.00	0.00
39533.00	1.00
39540.00	0.00
39548.00	1.00
39557.00	0.00
39565.00	1.00
39634.00	0.00
39658.00	1.00
39665.00	0.00
39685.00	1.00
39695.00	0.00
39715.00	1.00
39797.00	0.00
39808.00	1.00
39815.00	0.00
39831.00	1.00
39839.00	0.00
39858.00	1.00
39984.00	0.00
39998.00	1.00
40005.00	0.00
40019.00	1.00
40028.00	0.00
40048.00	1.00
40361.00	0.00
40374.00	1.00
40387.00	0.00
40397.00	1.00
40410.00	0.00
40429.00	1.00
40437.00	0.00
40455.00	1.00
40462.00	0.00
40482.00	1.00
40489.00	0.00
40512.00	1.00
40534.00	0.00
40555.00	1.00
40563.00	0.00
40584.00	1.00
40659.00	0.00
40667.00	1.00
40796.00	0.00
40808.00	1.00
41048.00	0.00
41060.00	1.00
41080.00	0.00
41100.00	1.00
41111.00	0.00
41144.00	1.00
41170.00	0.00
41194.00	1.00
41210.00	0.00
41231.00	1.00
41238.00	0.00
41257.00	1.00
41259.00	0.00
41274.00	1.00
41275.00	0.00
41292.00	0.00
41314.00	1.00
41330.00	0.00
41350.00	1.00
41351.00	0.00
41362.00	1.00
41363.00	0.00
41383.00	1.00
41384.00	0.00
41398.00	1.00
41400.00	0.00
41417.00	1.00
41419.00	0.00
41434.00	1.00
41435.00	0.00
41449.00	1.00
41451.00	0.00
41466.00	1.00
41713.00	0.00
41732.00	1.00
41734.00	0.00
41750.00	1.00
41751.00	0.00
41789.00	1.00
41813.00	0.00
41833.00	1.00
41845.00	0.00
41866.00	1.00
41930.00	0.00
41938.00	1.00
41995.00	0.00
42020.00	1.00
42029.00	0.00
42065.00	1.00
42085.00	0.00
42110.00	1.00
42114.00	0.00
42133.00	1.00
42134.00	0.00
42152.00	1.00
42220.00	0.00
42228.00	1.00
42279.00	0.00
42303.00	1.00
42330.00	0.00
42347.00	1.00
42351.00	0.00
42374.00	1.00
42440.00	0.00
42447.00	1.00
42494.00	0.00
42519.00	1.00
42535.00	0.00
42548.00	1.00
42552.00	0.00
42567.00	1.00
42568.00	0.00
42580.00	1.00
