level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	193421	195041	#003cff	1.0	Partition By Field	18					366786
3	200578	203262	#003cff	1.0	Partition By Field	18					96805
3	246306	249049	#003cff	1.0	Partition By Image Range	19					192470
3	265345	266854	#003cff	1.0	Partition By Image Range	19					449750
3	8793346	8793352	#000000	1.0	Intersection						52006
3	8793379	8793380	#000000	1.0	Intersection						52007
3	10774379	10774385	#000000	1.0	Intersection						672106
3	10774426	10774427	#000000	1.0	Intersection						672107
