level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	7967	7996	#0018ff	1.0	Deferred Enqueue Task	1					213
2	8048	8104	#37ff00	1.0	Scheduler	0					215
2	8111	8324	#f7ff00	1.0	Task Physical Dependence Analysis	1					2744
2	8330	8331	#FFC0CB	1.0	ProfTask <1>						2780
2	52160	52293	#00ff4e	1.0	Logical Dependence Analysis	3					216
2	52325	52384	#333399	1.0	Deferred Ready Trigger	3					217
2	52390	52395	#9d00ff	1.0	Prepipeline Stage	3					218
2	52399	52717	#00ff12	1.0	Operation Physical Dependence Analysis	3					2745
2	52717	52736	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	3					2745
2	52736	52757	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	3					2745
2	52757	53227	#00ff12	1.0	Operation Physical Dependence Analysis	3					2745
1	52452	52903	#6700ff	1.0	Mapper Call map_inline for 3	3					2766
2	53252	53256	#FFC0CB	1.0	ProfTask <3>						2782
2	53399	53414	#00ff4e	1.0	Logical Dependence Analysis	4					219
2	53439	53450	#333399	1.0	Deferred Ready Trigger	4					220
2	53455	53456	#9d00ff	1.0	Prepipeline Stage	4					221
2	53459	53515	#00ff12	1.0	Operation Physical Dependence Analysis	4					2746
2	53515	53532	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	4					2746
2	53532	53536	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	4					2746
2	53536	53604	#00ff12	1.0	Operation Physical Dependence Analysis	4					2746
2	53626	53627	#FFC0CB	1.0	ProfTask <4>						2784
2	53708	53727	#00ff4e	1.0	Logical Dependence Analysis	5					222
2	53751	53762	#333399	1.0	Deferred Ready Trigger	5					223
2	53766	53767	#9d00ff	1.0	Prepipeline Stage	5					224
2	53771	53819	#00ff12	1.0	Operation Physical Dependence Analysis	5					2747
2	53819	53825	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	5					2747
2	53825	53829	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	5					2747
2	53829	53897	#00ff12	1.0	Operation Physical Dependence Analysis	5					2747
2	53918	53920	#FFC0CB	1.0	ProfTask <5>						2786
2	54046	54152	#00ff4e	1.0	Logical Dependence Analysis	6					225
2	54198	54207	#333399	1.0	Deferred Ready Trigger	6					226
2	54245	54261	#37ff00	1.0	Scheduler	0					227
2	54297	54298	#9d00ff	1.0	Prepipeline Stage	7					228
2	54336	54639	#f7ff00	1.0	Task Physical Dependence Analysis	6					2839
2	54693	54702	#333399	1.0	Deferred Ready Trigger	7					2840
2	54726	54784	#00ff12	1.0	Operation Physical Dependence Analysis	7					2841
2	56554	56565	#001bff	1.0	Deferred Execution Trigger	7					229
2	56606	56624	#00ff4e	1.0	Logical Dependence Analysis	8					230
2	56663	56671	#333399	1.0	Deferred Ready Trigger	8					231
2	56707	56718	#006600	1.0	Post-Task Execution	6					232
2	56754	56855	#ff7a00	1.0	Deferred Post-Task Execution	6					233
2	56905	56906	#9d00ff	1.0	Prepipeline Stage	8					234
2	56944	57017	#00ff12	1.0	Operation Physical Dependence Analysis	8					2842
2	61687	61704	#00ff4e	1.0	Logical Dependence Analysis	9					235
2	61749	61758	#333399	1.0	Deferred Ready Trigger	9					236
2	61795	61796	#9d00ff	1.0	Prepipeline Stage	9					237
2	61830	61920	#00ff12	1.0	Operation Physical Dependence Analysis	9					238
2	61920	61926	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	9					238
2	61926	61929	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	9					238
2	61929	62092	#00ff12	1.0	Operation Physical Dependence Analysis	9					238
1	61835	61943	#6700ff	1.0	Mapper Call map_inline for 9	9					2767
2	62134	62189	#00ff4e	1.0	Logical Dependence Analysis	10					239
2	62233	62240	#333399	1.0	Deferred Ready Trigger	10					240
2	62276	62286	#37ff00	1.0	Scheduler	0					241
2	62325	62334	#333399	1.0	Deferred Ready Trigger	12					242
2	62373	62374	#9d00ff	1.0	Prepipeline Stage	12					243
2	62416	62545	#f7ff00	1.0	Task Physical Dependence Analysis	10					2843
2	62573	62579	#333399	1.0	Deferred Ready Trigger	11					2844
2	62608	62618	#37ff00	1.0	Scheduler	0					2845
2	62641	62707	#00ff12	1.0	Operation Physical Dependence Analysis	12					2846
2	62707	62710	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	12					2846
2	62710	62713	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	12					2846
2	62713	62756	#00ff12	1.0	Operation Physical Dependence Analysis	12					2846
2	62788	62846	#f7ff00	1.0	Task Physical Dependence Analysis	11					2847
2	64520	64538	#00ff4e	1.0	Logical Dependence Analysis	13					244
2	64567	64583	#333399	1.0	Deferred Ready Trigger	13					245
2	64607	64611	#006600	1.0	Post-Task Execution	10					246
2	64633	64648	#ff7a00	1.0	Deferred Post-Task Execution	10					247
2	64673	64674	#9d00ff	1.0	Prepipeline Stage	13					248
2	64695	64759	#00ff12	1.0	Operation Physical Dependence Analysis	13					249
2	64759	64766	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	13					249
2	64766	64769	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	13					249
2	64769	64946	#00ff12	1.0	Operation Physical Dependence Analysis	13					249
2	64975	65052	#00ff4e	1.0	Logical Dependence Analysis	14					250
2	65080	65095	#333399	1.0	Deferred Ready Trigger	14					251
2	65119	65129	#333399	1.0	Deferred Ready Trigger	16					252
2	65152	65154	#9d00ff	1.0	Prepipeline Stage	16					253
2	65181	65221	#00ff12	1.0	Operation Physical Dependence Analysis	14					254
2	65252	65259	#333399	1.0	Deferred Ready Trigger	15					255
2	65282	65291	#37ff00	1.0	Scheduler	0					256
2	65314	65429	#00ff12	1.0	Operation Physical Dependence Analysis	16					257
2	65429	65433	#00ff12	0.15	Operation Physical Dependence Analysis (waiting)	16					257
2	65433	65436	#00ff12	0.45	Operation Physical Dependence Analysis (ready)	16					257
2	65436	65523	#00ff12	1.0	Operation Physical Dependence Analysis	16					257
1	65319	65450	#6700ff	1.0	Mapper Call map_inline for 16	16					2768
2	65557	65573	#00ff4e	1.0	Logical Dependence Analysis	17					258
2	65600	65607	#333399	1.0	Deferred Ready Trigger	17					259
2	65629	65991	#f7ff00	1.0	Task Physical Dependence Analysis	15					2748
2	65999	66001	#9d00ff	1.0	Prepipeline Stage	17					2749
2	66005	66054	#00ff12	1.0	Operation Physical Dependence Analysis	17					2750
2	66060	66061	#FFC0CB	1.0	ProfTask <15>						2788
2	66063	66064	#FFC0CB	1.0	ProfTask <17>						2790
2	66065	66065	#FFC0CB	1.0	ProfTask <17>						2792
2	67948	67955	#001bff	1.0	Deferred Execution Trigger	17					2848
